Unicode,UTF-8,Description
U+1F483 U+1F3FC,💃🏼,woman dancing; medium-light skin tone
U+1F483 U+1F3FD,💃🏽,woman dancing; medium skin tone
U+1F483 U+1F3FE,💃🏾,woman dancing; medium-dark skin tone
U+1F483 U+1F3FF,💃🏿,woman dancing; dark skin tone
U+1F484,💄,lipstick
U+1F485,💅,nail polish
U+1F485 U+1F3FB,💅🏻,nail polish; light skin tone
U+1F485 U+1F3FC,💅🏼,nail polish; medium-light skin tone
U+1F485 U+1F3FD,💅🏽,nail polish; medium skin tone
U+1F485 U+1F3FE,💅🏾,nail polish; medium-dark skin tone
U+1F485 U+1F3FF,💅🏿,nail polish; dark skin tone
U+1F486,💆,person getting massage
U+1F486 U+1F3FB,💆🏻,person getting massage; light skin tone
U+1F486 U+1F3FB U+200D U+2640 U+FE0F,💆🏻‍♀️,woman getting massage; light skin tone
U+1F486 U+1F3FB U+200D U+2642 U+FE0F,💆🏻‍♂️,man getting massage; light skin tone
U+1F486 U+1F3FC,💆🏼,person getting massage; medium-light skin tone
U+1F486 U+1F3FC U+200D U+2640 U+FE0F,💆🏼‍♀️,woman getting massage; medium-light skin tone
U+1F486 U+1F3FC U+200D U+2642 U+FE0F,💆🏼‍♂️,man getting massage; medium-light skin tone
U+1F486 U+1F3FD,💆🏽,person getting massage; medium skin tone
U+1F486 U+1F3FD U+200D U+2640 U+FE0F,💆🏽‍♀️,woman getting massage; medium skin tone
U+1F486 U+1F3FD U+200D U+2642 U+FE0F,💆🏽‍♂️,man getting massage; medium skin tone
U+1F486 U+1F3FE,💆🏾,person getting massage; medium-dark skin tone
U+1F486 U+1F3FE U+200D U+2640 U+FE0F,💆🏾‍♀️,woman getting massage; medium-dark skin tone
U+1F486 U+1F3FE U+200D U+2642 U+FE0F,💆🏾‍♂️,man getting massage; medium-dark skin tone
U+1F486 U+1F3FF,💆🏿,person getting massage; dark skin tone
U+1F486 U+1F3FF U+200D U+2640 U+FE0F,💆🏿‍♀️,woman getting massage; dark skin tone
U+1F486 U+1F3FF U+200D U+2642 U+FE0F,💆🏿‍♂️,man getting massage; dark skin tone
U+1F486 U+200D U+2640 U+FE0F,💆‍♀️,woman getting massage
U+1F486 U+200D U+2642 U+FE0F,💆‍♂️,man getting massage
U+1F487,💇,person getting haircut
U+1F487 U+1F3FB,💇🏻,person getting haircut; light skin tone
U+1F487 U+1F3FB U+200D U+2640 U+FE0F,💇🏻‍♀️,woman getting haircut; light skin tone
U+1F487 U+1F3FB U+200D U+2642 U+FE0F,💇🏻‍♂️,man getting haircut; light skin tone
U+1F487 U+1F3FC,💇🏼,person getting haircut; medium-light skin tone
U+1F487 U+1F3FC U+200D U+2640 U+FE0F,💇🏼‍♀️,woman getting haircut; medium-light skin tone
U+1F487 U+1F3FC U+200D U+2642 U+FE0F,💇🏼‍♂️,man getting haircut; medium-light skin tone
U+1F487 U+1F3FD,💇🏽,person getting haircut; medium skin tone
U+1F487 U+1F3FD U+200D U+2640 U+FE0F,💇🏽‍♀️,woman getting haircut; medium skin tone
U+1F487 U+1F3FD U+200D U+2642 U+FE0F,💇🏽‍♂️,man getting haircut; medium skin tone
U+1F487 U+1F3FE,💇🏾,person getting haircut; medium-dark skin tone
U+1F487 U+1F3FE U+200D U+2640 U+FE0F,💇🏾‍♀️,woman getting haircut; medium-dark skin tone
U+1F487 U+1F3FE U+200D U+2642 U+FE0F,💇🏾‍♂️,man getting haircut; medium-dark skin tone
U+1F487 U+1F3FF,💇🏿,person getting haircut; dark skin tone
U+1F487 U+1F3FF U+200D U+2640 U+FE0F,💇🏿‍♀️,woman getting haircut; dark skin tone
U+1F487 U+1F3FF U+200D U+2642 U+FE0F,💇🏿‍♂️,man getting haircut; dark skin tone
U+1F487 U+200D U+2640 U+FE0F,💇‍♀️,woman getting haircut
U+1F487 U+200D U+2642 U+FE0F,💇‍♂️,man getting haircut
U+1F488,💈,barber pole
U+1F489,💉,syringe
U+1F48A,💊,pill
U+1F48B,💋,kiss mark
U+1F48C,💌,love letter
U+1F48D,💍,ring
U+1F48E,💎,gem stone
U+1F48F,💏,kiss
U+1F490,💐,bouquet
U+1F491,💑,couple with heart
U+1F492,💒,wedding
U+1F493,💓,beating heart
U+1F494,💔,broken heart
U+1F495,💕,two hearts
U+1F496,💖,sparkling heart
U+1F497,💗,growing heart
U+1F498,💘,heart with arrow
U+1F499,💙,blue heart
U+1F49A,💚,green heart
U+1F49B,💛,yellow heart
U+1F49C,💜,purple heart
U+1F49D,💝,heart with ribbon
U+1F49E,💞,revolving hearts
U+1F49F,💟,heart decoration
U+1F4A0,💠,diamond with a dot
U+1F4A1,💡,light bulb
U+1F4A2,💢,anger symbol
U+1F4A3,💣,bomb
U+1F4A4,💤,zzz
U+1F4A5,💥,collision
U+1F4A6,💦,sweat droplets
U+1F4A7,💧,droplet
U+1F4A8,💨,dashing away
U+1F4A9,💩,pile of poo
U+1F4AA,💪,flexed biceps
U+1F4AA U+1F3FB,💪🏻,flexed biceps; light skin tone
U+1F4AA U+1F3FC,💪🏼,flexed biceps; medium-light skin tone
U+1F4AA U+1F3FD,💪🏽,flexed biceps; medium skin tone
U+1F4AA U+1F3FE,💪🏾,flexed biceps; medium-dark skin tone
U+1F4AA U+1F3FF,💪🏿,flexed biceps; dark skin tone
U+1F4AB,💫,dizzy
U+1F4AC,💬,speech balloon
U+1F4AD,💭,thought balloon
U+1F4AE,💮,white flower
U+1F4AF,💯,hundred points
U+1F4B0,💰,money bag
U+1F4B1,💱,currency exchange
U+1F4B2,💲,heavy dollar sign
U+1F4B3,💳,credit card
U+1F4B4,💴,yen banknote
U+1F4B5,💵,dollar banknote
U+1F4B6,💶,euro banknote
U+1F4B7,💷,pound banknote
U+1F4B8,💸,money with wings
U+1F4B9,💹,chart increasing with yen
U+1F4BA,💺,seat
U+1F4BB,💻,laptop computer
U+1F4BC,💼,briefcase
U+1F4BD,💽,computer disk
U+1F4BE,💾,floppy disk
U+1F4BF,💿,optical disk
U+1F4C0,📀,dvd
U+1F4C1,📁,file folder
U+1F4C2,📂,open file folder
U+1F4C3,📃,page with curl
U+1F4C4,📄,page facing up
U+1F4C5,📅,calendar
U+1F4C6,📆,tear-off calendar
U+1F4C7,📇,card index
U+1F4C8,📈,chart increasing
U+1F4C9,📉,chart decreasing
U+1F4CA,📊,bar chart
U+1F4CB,📋,clipboard
U+1F4CC,📌,pushpin
U+1F4CD,📍,round pushpin
U+1F4CE,📎,paperclip
U+1F4CF,📏,straight ruler
U+1F4D0,📐,triangular ruler
U+1F4D1,📑,bookmark tabs
U+1F4D2,📒,ledger
U+1F4D3,📓,notebook
U+1F4D4,📔,notebook with decorative cover
U+1F4D5,📕,closed book
U+1F4D6,📖,open book
U+1F4D7,📗,green book
U+1F4D8,📘,blue book
U+1F4D9,📙,orange book
U+1F4DA,📚,books
U+1F4DB,📛,name badge
U+1F4DC,📜,scroll
U+1F4DD,📝,memo
U+1F4DE,📞,telephone receiver
U+1F4DF,📟,pager
U+1F4E0,📠,fax machine
U+1F4E1,📡,satellite antenna
U+1F4E2,📢,loudspeaker
U+1F4E3,📣,megaphone
U+1F4E4,📤,outbox tray
U+1F4E5,📥,inbox tray
U+1F4E6,📦,package
U+1F4E7,📧,e-mail
U+1F4E8,📨,incoming envelope
U+1F4E9,📩,envelope with arrow
U+1F4EA,📪,closed mailbox with lowered flag
U+1F4EB,📫,closed mailbox with raised flag
U+1F4EC,📬,open mailbox with raised flag
U+1F4ED,📭,open mailbox with lowered flag
U+1F4EE,📮,postbox
U+1F4EF,📯,postal horn
U+1F4F0,📰,newspaper
U+1F4F1,📱,mobile phone
U+1F4F2,📲,mobile phone with arrow
U+1F4F3,📳,vibration mode
U+1F4F4,📴,mobile phone off
U+1F4F5,📵,no mobile phones
U+1F4F6,📶,antenna bars
U+1F4F7,📷,camera
U+1F4F8,📸,camera with flash
U+1F4F9,📹,video camera
U+1F4FA,📺,television
U+1F4FB,📻,radio
U+1F4FC,📼,videocassette
U+1F4FD,📽,film projector
U+1F4FF,📿,prayer beads
U+1F500,🔀,shuffle tracks button
U+1F501,🔁,repeat button
U+1F502,🔂,repeat single button
U+1F503,🔃,clockwise vertical arrows
U+1F504,🔄,counterclockwise arrows button
U+1F505,🔅,dim button
U+1F506,🔆,bright button
U+1F507,🔇,muted speaker
U+1F508,🔈,speaker low volume
U+1F509,🔉,speaker medium volume
U+1F50A,🔊,speaker high volume
U+1F50B,🔋,battery
U+1F50C,🔌,electric plug
U+1F50D,🔍,magnifying glass tilted left
U+1F50E,🔎,magnifying glass tilted right
U+1F50F,🔏,locked with pen
U+1F510,🔐,locked with key
U+1F511,🔑,key
U+1F512,🔒,locked
U+1F513,🔓,unlocked
U+1F514,🔔,bell
U+1F515,🔕,bell with slash
U+1F516,🔖,bookmark
U+1F517,🔗,link
U+1F518,🔘,radio button
U+1F519,🔙,BACK arrow
U+1F51A,🔚,END arrow
U+1F51B,🔛,ON! arrow
U+1F51C,🔜,SOON arrow
U+1F51D,🔝,TOP arrow
U+1F51E,🔞,no one under eighteen
U+1F51F,🔟,keycap; 10
U+1F520,🔠,input latin uppercase
U+1F521,🔡,input latin lowercase
U+1F522,🔢,input numbers
U+1F523,🔣,input symbols
U+1F524,🔤,input latin letters
U+1F525,🔥,fire
U+1F526,🔦,flashlight
U+1F527,🔧,wrench
U+1F528,🔨,hammer
U+1F529,🔩,nut and bolt
U+1F52A,🔪,kitchen knife
U+1F52B,🔫,pistol
U+1F52C,🔬,microscope
U+1F52D,🔭,telescope
U+1F52E,🔮,crystal ball
U+1F52F,🔯,dotted six-pointed star
U+1F530,🔰,Japanese symbol for beginner
U+1F531,🔱,trident emblem
U+1F532,🔲,black square button
U+1F533,🔳,white square button
U+1F534,🔴,red circle
U+1F535,🔵,blue circle
U+1F536,🔶,large orange diamond
U+1F537,🔷,large blue diamond
U+1F538,🔸,small orange diamond
U+1F539,🔹,small blue diamond
U+1F53A,🔺,red triangle pointed up
U+1F53B,🔻,red triangle pointed down
U+1F53C,🔼,upwards button
U+1F53D,🔽,downwards button
U+1F549,🕉,om
U+1F54A,🕊,dove
U+1F54B,🕋,kaaba
U+1F54C,🕌,mosque
U+1F54D,🕍,synagogue
U+1F54E,🕎,menorah
U+1F550,🕐,one o'clock
U+1F551,🕑,two o'clock
U+1F552,🕒,three o'clock
U+1F553,🕓,four o'clock
U+1F554,🕔,five o'clock
U+1F555,🕕,six o'clock
U+1F556,🕖,seven o'clock
U+1F557,🕗,eight o'clock
U+1F558,🕘,nine o'clock
U+1F559,🕙,ten o'clock
U+1F55A,🕚,eleven o'clock
U+1F55B,🕛,twelve o'clock
U+1F55C,🕜,one-thirty
U+1F55D,🕝,two-thirty
U+1F55E,🕞,three-thirty
U+1F55F,🕟,four-thirty
U+1F560,🕠,five-thirty
U+1F561,🕡,six-thirty
U+1F562,🕢,seven-thirty
U+1F563,🕣,eight-thirty
U+1F564,🕤,nine-thirty
U+1F565,🕥,ten-thirty
U+1F566,🕦,eleven-thirty
U+1F567,🕧,twelve-thirty
U+1F56F,🕯,candle
U+1F570,🕰,mantelpiece clock
U+1F573,🕳,hole
U+1F574,🕴,man in suit levitating
U+1F574 U+1F3FB,🕴🏻,man in suit levitating; light skin tone
U+1F574 U+1F3FC,🕴🏼,man in suit levitating; medium-light skin tone
U+1F574 U+1F3FD,🕴🏽,man in suit levitating; medium skin tone
U+1F574 U+1F3FE,🕴🏾,man in suit levitating; medium-dark skin tone
U+1F574 U+1F3FF,🕴🏿,man in suit levitating; dark skin tone
U+1F575,🕵,detective
U+1F575 U+1F3FB,🕵🏻,detective; light skin tone
U+1F575 U+1F3FB U+200D U+2640 U+FE0F,🕵🏻‍♀️,woman detective; light skin tone
U+1F575 U+1F3FB U+200D U+2642 U+FE0F,🕵🏻‍♂️,man detective; light skin tone
U+1F575 U+1F3FC,🕵🏼,detective; medium-light skin tone
U+1F575 U+1F3FC U+200D U+2640 U+FE0F,🕵🏼‍♀️,woman detective; medium-light skin tone
U+1F575 U+1F3FC U+200D U+2642 U+FE0F,🕵🏼‍♂️,man detective; medium-light skin tone
U+1F575 U+1F3FD,🕵🏽,detective; medium skin tone
U+1F575 U+1F3FD U+200D U+2640 U+FE0F,🕵🏽‍♀️,woman detective; medium skin tone
U+1F575 U+1F3FD U+200D U+2642 U+FE0F,🕵🏽‍♂️,man detective; medium skin tone
U+1F575 U+1F3FE,🕵🏾,detective; medium-dark skin tone
U+1F575 U+1F3FE U+200D U+2640 U+FE0F,🕵🏾‍♀️,woman detective; medium-dark skin tone
U+1F575 U+1F3FE U+200D U+2642 U+FE0F,🕵🏾‍♂️,man detective; medium-dark skin tone
U+1F575 U+1F3FF,🕵🏿,detective; dark skin tone
U+1F575 U+1F3FF U+200D U+2640 U+FE0F,🕵🏿‍♀️,woman detective; dark skin tone
U+1F575 U+1F3FF U+200D U+2642 U+FE0F,🕵🏿‍♂️,man detective; dark skin tone
U+1F575 U+FE0F U+200D U+2640 U+FE0F,🕵️‍♀️,woman detective
U+1F575 U+FE0F U+200D U+2642 U+FE0F,🕵️‍♂️,man detective
U+1F576,🕶,sunglasses
U+1F577,🕷,spider
U+1F578,🕸,spider web
U+1F579,🕹,joystick
U+1F57A,🕺,man dancing
U+1F57A U+1F3FB,🕺🏻,man dancing; light skin tone
U+1F57A U+1F3FC,🕺🏼,man dancing; medium-light skin tone
U+1F57A U+1F3FD,🕺🏽,man dancing; medium skin tone
U+1F57A U+1F3FE,🕺🏾,man dancing; medium-dark skin tone
U+1F57A U+1F3FF,🕺🏿,man dancing; dark skin tone
U+1F587,🖇,linked paperclips
U+1F58A,🖊,pen
U+1F58B,🖋,fountain pen
U+1F58C,🖌,paintbrush
U+1F58D,🖍,crayon
U+1F590,🖐,hand with fingers splayed
U+1F590 U+1F3FB,🖐🏻,hand with fingers splayed; light skin tone
U+1F590 U+1F3FC,🖐🏼,hand with fingers splayed; medium-light skin tone
U+1F590 U+1F3FD,🖐🏽,hand with fingers splayed; medium skin tone
U+1F590 U+1F3FE,🖐🏾,hand with fingers splayed; medium-dark skin tone
U+1F590 U+1F3FF,🖐🏿,hand with fingers splayed; dark skin tone
U+1F595,🖕,middle finger
U+1F595 U+1F3FB,🖕🏻,middle finger; light skin tone
U+1F595 U+1F3FC,🖕🏼,middle finger; medium-light skin tone
U+1F595 U+1F3FD,🖕🏽,middle finger; medium skin tone
U+1F595 U+1F3FE,🖕🏾,middle finger; medium-dark skin tone
U+1F595 U+1F3FF,🖕🏿,middle finger; dark skin tone
U+1F596,🖖,vulcan salute
U+1F596 U+1F3FB,🖖🏻,vulcan salute; light skin tone
U+1F596 U+1F3FC,🖖🏼,vulcan salute; medium-light skin tone
U+1F596 U+1F3FD,🖖🏽,vulcan salute; medium skin tone
U+1F596 U+1F3FE,🖖🏾,vulcan salute; medium-dark skin tone
U+1F596 U+1F3FF,🖖🏿,vulcan salute; dark skin tone
U+1F5A4,🖤,black heart
U+1F5A5,🖥,desktop computer
U+1F5A8,🖨,printer
U+1F5B1,🖱,computer mouse
U+1F5B2,🖲,trackball
U+1F5BC,🖼,framed picture
U+1F5C2,🗂,card index dividers
U+1F5C3,🗃,card file box
U+1F5C4,🗄,file cabinet
U+1F5D1,🗑,wastebasket
U+1F5D2,🗒,spiral notepad
U+1F5D3,🗓,spiral calendar
U+1F5DC,🗜,clamp
U+1F5DD,🗝,old key
U+1F5DE,🗞,rolled-up newspaper
U+1F5E1,🗡,dagger
U+1F5E3,🗣,speaking head
U+1F5E8,🗨,left speech bubble
U+1F5EF,🗯,right anger bubble
U+1F5F3,🗳,ballot box with ballot
U+1F5FA,🗺,world map
U+1F5FB,🗻,mount fuji
U+1F5FC,🗼,Tokyo tower
U+1F5FD,🗽,Statue of Liberty
U+1F5FE,🗾,map of Japan
U+1F5FF,🗿,moai
U+1F600,😀,grinning face
U+1F601,😁,beaming face with smiling eyes
U+1F602,😂,face with tears of joy
U+1F603,😃,grinning face with big eyes
U+1F604,😄,grinning face with smiling eyes
U+1F605,😅,grinning face with sweat
U+1F606,😆,grinning squinting face
U+1F607,😇,smiling face with halo
U+1F608,😈,smiling face with horns
U+1F609,😉,winking face
U+1F60A,😊,smiling face with smiling eyes
U+1F60B,😋,face savoring food
U+1F60C,😌,relieved face
U+1F60D,😍,smiling face with heart-eyes
U+1F60E,😎,smiling face with sunglasses
U+1F60F,😏,smirking face
U+1F610,😐,neutral face
U+1F611,😑,expressionless face
U+1F612,😒,unamused face
U+1F613,😓,downcast face with sweat
U+1F614,😔,pensive face
U+1F615,😕,confused face
U+1F616,😖,confounded face
U+1F617,😗,kissing face
U+1F618,😘,face blowing a kiss
U+1F619,😙,kissing face with smiling eyes
U+1F61A,😚,kissing face with closed eyes
U+1F61B,😛,face with tongue
U+1F61C,😜,winking face with tongue
U+1F61D,😝,squinting face with tongue
U+1F61E,😞,disappointed face
U+1F61F,😟,worried face
U+1F620,😠,angry face
U+1F621,😡,pouting face
U+1F622,😢,crying face
U+1F623,😣,persevering face
U+1F624,😤,face with steam from nose
U+1F625,😥,sad but relieved face
U+1F626,😦,frowning face with open mouth
U+1F627,😧,anguished face
U+1F628,😨,fearful face
U+1F629,😩,weary face
U+1F62A,😪,sleepy face
U+1F62B,😫,tired face
U+1F62C,😬,grimacing face
U+1F62D,😭,loudly crying face
U+1F62E,😮,face with open mouth
U+1F62F,😯,hushed face
U+1F630,😰,anxious face with sweat
U+1F631,😱,face screaming in fear
U+1F632,😲,astonished face
U+1F633,😳,flushed face
U+1F634,😴,sleeping face
U+1F635,😵,dizzy face
U+1F636,😶,face without mouth
U+1F637,😷,face with medical mask
U+1F638,😸,grinning cat face with smiling eyes
U+1F639,😹,cat face with tears of joy
U+1F63A,😺,grinning cat face
U+1F63B,😻,smiling cat face with heart-eyes
U+1F63C,😼,cat face with wry smile
U+1F63D,😽,kissing cat face
U+1F63E,😾,pouting cat face
U+1F63F,😿,crying cat face
U+1F640,🙀,weary cat face
U+1F641,🙁,slightly frowning face
U+1F642,🙂,slightly smiling face
U+1F643,🙃,upside-down face
U+1F644,🙄,face with rolling eyes
U+1F645,🙅,person gesturing NO
U+1F645 U+1F3FB,🙅🏻,person gesturing NO; light skin tone
U+1F645 U+1F3FB U+200D U+2640 U+FE0F,🙅🏻‍♀️,woman gesturing NO; light skin tone
U+1F645 U+1F3FB U+200D U+2642 U+FE0F,🙅🏻‍♂️,man gesturing NO; light skin tone
U+1F645 U+1F3FC,🙅🏼,person gesturing NO; medium-light skin tone
U+1F645 U+1F3FC U+200D U+2640 U+FE0F,🙅🏼‍♀️,woman gesturing NO; medium-light skin tone
U+1F645 U+1F3FC U+200D U+2642 U+FE0F,🙅🏼‍♂️,man gesturing NO; medium-light skin tone
U+1F645 U+1F3FD,🙅🏽,person gesturing NO; medium skin tone
U+1F645 U+1F3FD U+200D U+2640 U+FE0F,🙅🏽‍♀️,woman gesturing NO; medium skin tone
U+1F645 U+1F3FD U+200D U+2642 U+FE0F,🙅🏽‍♂️,man gesturing NO; medium skin tone
U+1F645 U+1F3FE,🙅🏾,person gesturing NO; medium-dark skin tone
U+1F645 U+1F3FE U+200D U+2640 U+FE0F,🙅🏾‍♀️,woman gesturing NO; medium-dark skin tone
U+1F645 U+1F3FE U+200D U+2642 U+FE0F,🙅🏾‍♂️,man gesturing NO; medium-dark skin tone
U+1F645 U+1F3FF,🙅🏿,person gesturing NO; dark skin tone
U+1F645 U+1F3FF U+200D U+2640 U+FE0F,🙅🏿‍♀️,woman gesturing NO; dark skin tone
U+1F645 U+1F3FF U+200D U+2642 U+FE0F,🙅🏿‍♂️,man gesturing NO; dark skin tone
U+1F645 U+200D U+2640 U+FE0F,🙅‍♀️,woman gesturing NO
U+1F645 U+200D U+2642 U+FE0F,🙅‍♂️,man gesturing NO
U+1F646,🙆,person gesturing OK
U+1F646 U+1F3FB,🙆🏻,person gesturing OK; light skin tone
U+1F646 U+1F3FB U+200D U+2640 U+FE0F,🙆🏻‍♀️,woman gesturing OK; light skin tone
U+1F646 U+1F3FB U+200D U+2642 U+FE0F,🙆🏻‍♂️,man gesturing OK; light skin tone
U+1F646 U+1F3FC,🙆🏼,person gesturing OK; medium-light skin tone
U+1F646 U+1F3FC U+200D U+2640 U+FE0F,🙆🏼‍♀️,woman gesturing OK; medium-light skin tone
U+1F646 U+1F3FC U+200D U+2642 U+FE0F,🙆🏼‍♂️,man gesturing OK; medium-light skin tone
U+1F646 U+1F3FD,🙆🏽,person gesturing OK; medium skin tone
U+1F646 U+1F3FD U+200D U+2640 U+FE0F,🙆🏽‍♀️,woman gesturing OK; medium skin tone
U+1F646 U+1F3FD U+200D U+2642 U+FE0F,🙆🏽‍♂️,man gesturing OK; medium skin tone
U+1F646 U+1F3FE,🙆🏾,person gesturing OK; medium-dark skin tone
U+1F646 U+1F3FE U+200D U+2640 U+FE0F,🙆🏾‍♀️,woman gesturing OK; medium-dark skin tone
U+1F646 U+1F3FE U+200D U+2642 U+FE0F,🙆🏾‍♂️,man gesturing OK; medium-dark skin tone
U+1F646 U+1F3FF,🙆🏿,person gesturing OK; dark skin tone
U+1F646 U+1F3FF U+200D U+2640 U+FE0F,🙆🏿‍♀️,woman gesturing OK; dark skin tone
U+1F646 U+1F3FF U+200D U+2642 U+FE0F,🙆🏿‍♂️,man gesturing OK; dark skin tone
U+1F646 U+200D U+2640 U+FE0F,🙆‍♀️,woman gesturing OK
U+1F646 U+200D U+2642 U+FE0F,🙆‍♂️,man gesturing OK
U+1F647,🙇,person bowing
U+1F647 U+1F3FB,🙇🏻,person bowing; light skin tone
U+1F647 U+1F3FB U+200D U+2640 U+FE0F,🙇🏻‍♀️,woman bowing; light skin tone
U+1F647 U+1F3FB U+200D U+2642 U+FE0F,🙇🏻‍♂️,man bowing; light skin tone
U+1F647 U+1F3FC,🙇🏼,person bowing; medium-light skin tone
U+1F647 U+1F3FC U+200D U+2640 U+FE0F,🙇🏼‍♀️,woman bowing; medium-light skin tone
U+1F647 U+1F3FC U+200D U+2642 U+FE0F,🙇🏼‍♂️,man bowing; medium-light skin tone
U+1F647 U+1F3FD,🙇🏽,person bowing; medium skin tone
U+1F647 U+1F3FD U+200D U+2640 U+FE0F,🙇🏽‍♀️,woman bowing; medium skin tone
U+1F647 U+1F3FD U+200D U+2642 U+FE0F,🙇🏽‍♂️,man bowing; medium skin tone
U+1F647 U+1F3FE,🙇🏾,person bowing; medium-dark skin tone
U+1F647 U+1F3FE U+200D U+2640 U+FE0F,🙇🏾‍♀️,woman bowing; medium-dark skin tone
U+1F647 U+1F3FE U+200D U+2642 U+FE0F,🙇🏾‍♂️,man bowing; medium-dark skin tone
U+1F647 U+1F3FF,🙇🏿,person bowing; dark skin tone
U+1F647 U+1F3FF U+200D U+2640 U+FE0F,🙇🏿‍♀️,woman bowing; dark skin tone
U+1F647 U+1F3FF U+200D U+2642 U+FE0F,🙇🏿‍♂️,man bowing; dark skin tone
U+1F647 U+200D U+2640 U+FE0F,🙇‍♀️,woman bowing
U+1F647 U+200D U+2642 U+FE0F,🙇‍♂️,man bowing
U+1F648,🙈,see-no-evil monkey
U+1F649,🙉,hear-no-evil monkey
U+1F64A,🙊,speak-no-evil monkey
U+1F64B,🙋,person raising hand
U+1F64B U+1F3FB,🙋🏻,person raising hand; light skin tone
U+1F64B U+1F3FB U+200D U+2640 U+FE0F,🙋🏻‍♀️,woman raising hand; light skin tone
U+1F64B U+1F3FB U+200D U+2642 U+FE0F,🙋🏻‍♂️,man raising hand; light skin tone
U+1F64B U+1F3FC,🙋🏼,person raising hand; medium-light skin tone
U+1F64B U+1F3FC U+200D U+2640 U+FE0F,🙋🏼‍♀️,woman raising hand; medium-light skin tone
U+1F64B U+1F3FC U+200D U+2642 U+FE0F,🙋🏼‍♂️,man raising hand; medium-light skin tone
U+1F64B U+1F3FD,🙋🏽,person raising hand; medium skin tone
U+1F64B U+1F3FD U+200D U+2640 U+FE0F,🙋🏽‍♀️,woman raising hand; medium skin tone
U+1F64B U+1F3FD U+200D U+2642 U+FE0F,🙋🏽‍♂️,man raising hand; medium skin tone
U+1F64B U+1F3FE,🙋🏾,person raising hand; medium-dark skin tone
U+1F64B U+1F3FE U+200D U+2640 U+FE0F,🙋🏾‍♀️,woman raising hand; medium-dark skin tone
U+1F64B U+1F3FE U+200D U+2642 U+FE0F,🙋🏾‍♂️,man raising hand; medium-dark skin tone
U+1F64B U+1F3FF,🙋🏿,person raising hand; dark skin tone
U+1F64B U+1F3FF U+200D U+2640 U+FE0F,🙋🏿‍♀️,woman raising hand; dark skin tone
U+1F64B U+1F3FF U+200D U+2642 U+FE0F,🙋🏿‍♂️,man raising hand; dark skin tone
U+1F64B U+200D U+2640 U+FE0F,🙋‍♀️,woman raising hand
U+1F64B U+200D U+2642 U+FE0F,🙋‍♂️,man raising hand
U+1F64C,🙌,raising hands
U+1F64C U+1F3FB,🙌🏻,raising hands; light skin tone
U+1F64C U+1F3FC,🙌🏼,raising hands; medium-light skin tone
U+1F64C U+1F3FD,🙌🏽,raising hands; medium skin tone
U+1F64C U+1F3FE,🙌🏾,raising hands; medium-dark skin tone
U+1F64C U+1F3FF,🙌🏿,raising hands; dark skin tone
U+1F64D,🙍,person frowning
U+1F64D U+1F3FB,🙍🏻,person frowning; light skin tone
U+1F64D U+1F3FB U+200D U+2640 U+FE0F,🙍🏻‍♀️,woman frowning; light skin tone
U+1F64D U+1F3FB U+200D U+2642 U+FE0F,🙍🏻‍♂️,man frowning; light skin tone
U+1F64D U+1F3FC,🙍🏼,person frowning; medium-light skin tone
U+1F64D U+1F3FC U+200D U+2640 U+FE0F,🙍🏼‍♀️,woman frowning; medium-light skin tone
U+1F64D U+1F3FC U+200D U+2642 U+FE0F,🙍🏼‍♂️,man frowning; medium-light skin tone
U+1F64D U+1F3FD,🙍🏽,person frowning; medium skin tone
U+1F64D U+1F3FD U+200D U+2640 U+FE0F,🙍🏽‍♀️,woman frowning; medium skin tone
U+1F64D U+1F3FD U+200D U+2642 U+FE0F,🙍🏽‍♂️,man frowning; medium skin tone
U+1F64D U+1F3FE,🙍🏾,person frowning; medium-dark skin tone
U+1F64D U+1F3FE U+200D U+2640 U+FE0F,🙍🏾‍♀️,woman frowning; medium-dark skin tone
U+1F64D U+1F3FE U+200D U+2642 U+FE0F,🙍🏾‍♂️,man frowning; medium-dark skin tone
U+1F64D U+1F3FF,🙍🏿,person frowning; dark skin tone
U+1F64D U+1F3FF U+200D U+2640 U+FE0F,🙍🏿‍♀️,woman frowning; dark skin tone
U+1F64D U+1F3FF U+200D U+2642 U+FE0F,🙍🏿‍♂️,man frowning; dark skin tone
U+1F64D U+200D U+2640 U+FE0F,🙍‍♀️,woman frowning
U+1F64D U+200D U+2642 U+FE0F,🙍‍♂️,man frowning
U+1F64E,🙎,person pouting
U+1F64E U+1F3FB,🙎🏻,person pouting; light skin tone
U+1F64E U+1F3FB U+200D U+2640 U+FE0F,🙎🏻‍♀️,woman pouting; light skin tone
U+1F64E U+1F3FB U+200D U+2642 U+FE0F,🙎🏻‍♂️,man pouting; light skin tone
U+1F64E U+1F3FC,🙎🏼,person pouting; medium-light skin tone
U+1F64E U+1F3FC U+200D U+2640 U+FE0F,🙎🏼‍♀️,woman pouting; medium-light skin tone
U+1F64E U+1F3FC U+200D U+2642 U+FE0F,🙎🏼‍♂️,man pouting; medium-light skin tone
U+1F64E U+1F3FD,🙎🏽,person pouting; medium skin tone
U+1F64E U+1F3FD U+200D U+2640 U+FE0F,🙎🏽‍♀️,woman pouting; medium skin tone
U+1F64E U+1F3FD U+200D U+2642 U+FE0F,🙎🏽‍♂️,man pouting; medium skin tone
U+1F64E U+1F3FE,🙎🏾,person pouting; medium-dark skin tone
